,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A
0,05/08/2022,Crystal Palace,Arsenal,0.0,2.0,A,4.2,3.6,1.85
1,06/08/2022,Fulham,Liverpool,2.0,2.0,D,11.0,6.0,1.25
2,06/08/2022,Bournemouth,Aston Villa,2.0,0.0,H,3.75,3.5,2.0
3,06/08/2022,Leeds,Wolves,2.0,1.0,H,2.25,3.4,3.2
4,06/08/2022,Newcastle,Nott'm Forest,2.0,0.0,H,1.66,3.8,5.25
5,06/08/2022,Tottenham,Southampton,4.0,1.0,H,1.33,5.5,8.5
6,06/08/2022,Everton,Chelsea,0.0,1.0,A,5.5,4.0,1.61
7,07/08/2022,Leicester,Brentford,2.0,2.0,D,2.0,3.75,3.5
8,07/08/2022,Man United,Brighton,1.0,2.0,A,1.6,4.2,5.25
9,07/08/2022,West Ham,Man City,0.0,2.0,A,8.0,5.0,1.36
10,13/08/2022,Aston Villa,Everton,2.0,1.0,H,1.8,3.5,4.75
11,13/08/2022,Arsenal,Leicester,4.0,2.0,H,1.53,4.33,5.75
12,13/08/2022,Brighton,Newcastle,0.0,0.0,D,2.45,3.2,3.0
13,13/08/2022,Man City,Bournemouth,4.0,0.0,H,1.06,13.0,29.0
14,13/08/2022,Southampton,Leeds,2.0,2.0,D,2.25,3.5,3.1
15,13/08/2022,Wolves,Fulham,0.0,0.0,D,2.3,3.3,3.2
16,13/08/2022,Brentford,Man United,4.0,0.0,H,3.75,3.5,2.0
17,14/08/2022,Nott'm Forest,West Ham,1.0,0.0,H,4.2,3.6,1.85
18,14/08/2022,Chelsea,Tottenham,2.0,2.0,D,2.25,3.4,3.2
19,15/08/2022,Liverpool,Crystal Palace,1.0,1.0,D,1.18,6.75,16.0
20,20/08/2022,Tottenham,Wolves,1.0,0.0,H,1.4,4.75,7.5
21,20/08/2022,Crystal Palace,Aston Villa,3.0,1.0,H,2.5,3.25,2.9
22,20/08/2022,Everton,Nott'm Forest,1.0,1.0,D,1.9,3.6,4.0
23,20/08/2022,Fulham,Brentford,3.0,2.0,H,2.45,3.4,2.9
24,20/08/2022,Leicester,Southampton,1.0,2.0,A,1.83,4.0,4.0
25,20/08/2022,Bournemouth,Arsenal,0.0,3.0,A,8.0,4.75,1.4
26,21/08/2022,Leeds,Chelsea,3.0,0.0,H,5.75,4.5,1.53
27,21/08/2022,West Ham,Brighton,0.0,2.0,A,2.3,3.4,3.1
28,21/08/2022,Newcastle,Man City,3.0,3.0,D,7.5,5.0,1.36
29,22/08/2022,Man United,Liverpool,2.0,1.0,H,5.25,4.33,1.6
30,27/08/2022,Southampton,Man United,0.0,1.0,A,4.2,4.0,1.8
31,27/08/2022,Brentford,Everton,1.0,1.0,D,2.0,3.5,3.75
32,27/08/2022,Brighton,Leeds,1.0,0.0,H,1.9,3.8,3.8
33,27/08/2022,Chelsea,Leicester,2.0,1.0,H,1.4,5.0,7.0
34,27/08/2022,Liverpool,Bournemouth,9.0,0.0,H,1.1,10.0,26.0
35,27/08/2022,Man City,Crystal Palace,4.0,2.0,H,1.18,7.5,13.0
36,27/08/2022,Arsenal,Fulham,2.0,1.0,H,1.3,5.75,9.0
37,28/08/2022,Aston Villa,West Ham,0.0,1.0,A,2.3,3.4,3.1
38,28/08/2022,Wolves,Newcastle,1.0,1.0,D,2.7,3.3,2.7
39,28/08/2022,Nott'm Forest,Tottenham,0.0,2.0,A,7.0,4.6,1.44
40,30/08/2022,Crystal Palace,Brentford,1.0,1.0,D,2.05,3.4,3.6
41,30/08/2022,Fulham,Brighton,2.0,1.0,H,3.1,3.3,2.3
42,30/08/2022,Southampton,Chelsea,2.0,1.0,H,5.25,4.0,1.61
43,30/08/2022,Leeds,Everton,1.0,1.0,D,2.15,3.5,3.3
44,31/08/2022,Arsenal,Aston Villa,2.0,1.0,H,1.45,4.5,6.0
45,31/08/2022,Bournemouth,Wolves,0.0,0.0,D,3.5,3.3,2.15
46,31/08/2022,Man City,Nott'm Forest,6.0,0.0,H,1.06,13.0,29.0
47,31/08/2022,West Ham,Tottenham,1.0,1.0,D,3.6,3.8,1.95
48,31/08/2022,Liverpool,Newcastle,2.0,1.0,H,1.33,5.25,9.0
49,01/09/2022,Leicester,Man United,0.0,1.0,A,3.4,3.75,2.05
50,03/09/2022,Everton,Liverpool,0.0,0.0,D,7.0,4.75,1.4
51,03/09/2022,Brentford,Leeds,5.0,2.0,H,2.1,3.5,3.4
52,03/09/2022,Chelsea,West Ham,2.0,1.0,H,1.55,4.5,5.5
53,03/09/2022,Newcastle,Crystal Palace,0.0,0.0,D,2.0,3.5,3.75
54,03/09/2022,Nott'm Forest,Bournemouth,2.0,3.0,A,1.95,3.5,3.8
55,03/09/2022,Tottenham,Fulham,2.0,1.0,H,1.5,4.5,6.5
56,03/09/2022,Wolves,Southampton,1.0,0.0,H,2.2,3.4,3.25
57,03/09/2022,Aston Villa,Man City,1.0,1.0,D,8.0,5.5,1.33
58,04/09/2022,Brighton,Leicester,5.0,2.0,H,1.83,3.5,4.5
59,04/09/2022,Man United,Arsenal,3.0,1.0,H,2.5,3.5,2.7
60,16/09/2022,Aston Villa,Southampton,1.0,0.0,H,2.1,3.5,3.5
61,16/09/2022,Nott'm Forest,Fulham,2.0,3.0,A,2.75,3.3,2.62
62,17/09/2022,Wolves,Man City,0.0,3.0,A,9.5,5.0,1.33
63,17/09/2022,Newcastle,Bournemouth,1.0,1.0,D,1.44,4.4,7.5
64,17/09/2022,Tottenham,Leicester,6.0,2.0,H,1.45,4.5,7.0
65,18/09/2022,Brentford,Arsenal,0.0,3.0,A,4.2,3.8,1.8
66,18/09/2022,Everton,West Ham,1.0,0.0,H,2.9,3.25,2.5
67,01/10/2022,Arsenal,Tottenham,3.0,1.0,H,2.05,3.75,3.3
68,01/10/2022,Bournemouth,Brentford,0.0,0.0,D,3.3,3.4,2.2
69,01/10/2022,Crystal Palace,Chelsea,1.0,2.0,A,4.2,3.6,1.85
70,01/10/2022,Fulham,Newcastle,1.0,4.0,A,3.0,3.4,2.37
71,01/10/2022,Liverpool,Brighton,3.0,3.0,D,1.33,5.25,8.5
72,01/10/2022,Southampton,Everton,1.0,2.0,A,2.15,3.4,3.4
73,01/10/2022,West Ham,Wolves,2.0,0.0,H,1.95,3.5,4.2
74,02/10/2022,Man City,Man United,6.0,3.0,H,1.33,5.75,7.5
75,02/10/2022,Leeds,Aston Villa,0.0,0.0,D,2.35,3.4,3.0
76,03/10/2022,Leicester,Nott'm Forest,4.0,0.0,H,1.75,4.0,4.33
77,08/10/2022,Bournemouth,Leicester,2.0,1.0,H,3.6,3.4,2.05
78,08/10/2022,Chelsea,Wolves,3.0,0.0,H,1.4,4.5,8.0
79,08/10/2022,Man City,Southampton,4.0,0.0,H,1.11,10.0,17.0
80,08/10/2022,Newcastle,Brentford,5.0,1.0,H,1.83,3.8,4.2
81,08/10/2022,Brighton,Tottenham,0.0,1.0,A,2.8,3.4,2.5
